####################
# Startup Complete #
####################
#{"device_name": "ECE362CarTeam07",
#  "pid": [0.450000,0.060000,0.000000]
#}
#{"csv": "
time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX (px), steering %, speed setting 
13924, 11.836, 131.420, 11.967, 1170.300, 15320.000, 0, 0, 5
14924, 11.772, 129.070, 11.901, 1133.300, 15650.000, 0, 0, 4
15924, 11.792, 112.460, 11.904, 1276.600, 15156.000, 0, 0, 5
16924, 11.800, 112.090, 11.912, 1288.400, 15158.000, 0, 0, 4
17570, 11.896, 124.650, 12.021, 1346.300, 15978.000, -88, 40, 2
17578, 11.680, 153.940, 11.834, 1560.200, 17732.000, -88, 40, 2
17586, 11.696, 135.800, 11.832, 1313.500, 15402.000, -88, 40, 2
17594, 11.812, 124.180, 11.936, 1221.700, 14424.000, 104, -47, 2
17602, 11.832, 111.490, 11.943, 1124.100, 13064.000, 104, -47, 2
17610, 11.824, 107.670, 11.932, 1136.800, 13488.000, 104, -47, 2
17618, 11.612, 180.520, 11.793, 1737.900, 20438.000, 104, -47, 2
17626, 11.660, 165.660, 11.826, 1597.800, 18694.000, 104, -47, 2
17634, 11.740, 143.100, 11.883, 1375.600, 16164.000, 104, -47, 2
17642, 11.800, 134.360, 11.934, 1312.400, 15086.000, 104, -47, 2
17650, 11.784, 121.530, 11.906, 1190.900, 14068.000, 104, -47, 2
17658, 11.828, 114.000, 11.942, 1151.400, 13632.000, 104, -47, 2
17666, 11.848, 109.250, 11.957, 1036.800, 12934.000, 104, -47, 2
17673, 11.852, 108.940, 11.961, 1093.700, 13002.000, 104, -47, 2
17681, 11.848, 107.210, 11.955, 1027.900, 12268.000, 104, -47, 2
17689, 11.852, 109.060, 11.961, 1085.300, 12874.000, 112, -50, 2
17697, 11.848, 105.190, 11.953, 1119.200, 13252.000, 112, -50, 2
17705, 11.868, 110.000, 11.978, 1131.500, 13770.000, 112, -50, 2
17713, 11.852, 108.050, 11.960, 1072.200, 12750.000, 112, -50, 2
17721, 11.852, 108.560, 11.961, 1065.400, 12646.000, 112, -50, 2
17729, 11.856, 109.180, 11.965, 1053.300, 12928.000, 112, -50, 2
17737, 11.932, 86.460, 12.018, 852.200, 10194.000, 112, -50, 2
17745, 11.956, 81.830, 12.038, 795.900, 9526.000, 112, -50, 2
17753, 11.944, 89.050, 12.033, 857.000, 10672.000, 112, -50, 2
17761, 11.908, 98.170, 12.006, 908.200, 10846.000, 112, -50, 2
17768, 11.940, 91.030, 12.031, 918.200, 10512.000, 112, -50, 2
17776, 11.936, 92.300, 12.028, 890.200, 10634.000, 112, -50, 2
17784, 11.936, 93.680, 12.030, 875.100, 10450.000, 112, -50, 2
17792, 11.940, 92.990, 12.033, 893.000, 10716.000, 112, -50, 2
17800, 11.928, 90.990, 12.019, 894.700, 10676.000, 112, -50, 2
17808, 11.912, 91.530, 12.004, 926.100, 10790.000, 112, -50, 2
17816, 11.944, 88.010, 12.032, 861.600, 10282.000, 112, -50, 2
17824, 11.924, 86.320, 12.010, 882.500, 10536.000, 112, -50, 2
17832, 11.924, 86.030, 12.010, 883.500, 10420.000, 112, -50, 2
17840, 11.912, 91.720, 12.004, 915.300, 10898.000, 112, -50, 2
17848, 11.900, 94.070, 11.994, 901.300, 10726.000, 96, -43, 2
17856, 11.904, 90.740, 11.995, 941.600, 12240.000, 96, -43, 2
17864, 11.872, 105.430, 11.977, 1066.800, 12662.000, 96, -43, 2
17871, 11.860, 100.460, 11.960, 1049.100, 12430.000, 96, -43, 2
17879, 11.888, 101.120, 11.989, 993.000, 11616.000, 96, -43, 2
17887, 11.876, 99.240, 11.975, 996.100, 11830.000, 96, -43, 2
17895, 11.896, 88.510, 11.985, 926.500, 11034.000, 96, -43, 2
17903, 11.908, 88.630, 11.997, 902.100, 10754.000, 136, -61, 2
17911, 11.908, 91.520, 12.000, 909.500, 10846.000, 136, -61, 2
17919, 11.616, 171.840, 11.788, 1635.400, 18892.000, 136, -61, 2
17927, 11.696, 151.860, 11.848, 1509.600, 17686.000, 136, -61, 2
17935, 11.756, 136.760, 11.893, 1380.500, 16224.000, 136, -61, 2
17943, 11.760, 132.490, 11.892, 1275.400, 15014.000, 136, -61, 2
17951, 11.896, 102.940, 11.999, 928.500, 11080.000, 136, -61, 2
17959, 11.920, 93.890, 12.014, 905.500, 10798.000, 136, -61, 2
17967, 11.904, 95.000, 11.999, 957.700, 11020.000, 136, -61, 2
17974, 11.920, 91.180, 12.011, 923.400, 11000.000, 136, -61, 2
17982, 11.912, 95.270, 12.007, 906.900, 11152.000, 136, -61, 2
17990, 11.920, 92.030, 12.012, 973.400, 11590.000, 136, -61, 2
17998, 11.892, 95.150, 11.987, 953.400, 11358.000, 120, -54, 2
18006, 11.904, 98.110, 12.002, 962.400, 11596.000, 120, -54, 2
18014, 11.896, 93.910, 11.990, 969.700, 11542.000, 120, -54, 2
18022, 11.884, 98.650, 11.983, 992.500, 11796.000, 120, -54, 2
18030, 11.900, 101.410, 12.001, 985.100, 11964.000, 120, -54, 2
