time (ms), packet_id, bus voltage (V), total_current (mA), power (mW), loop time (ms) 
30199,413,11.716,599.6,6970,43
30249,414,11.712,588.3,6902,43
30299,415,11.708,614,7192,43
30349,416,11.712,611.1,7134,43
30399,417,11.716,596.6,6986,43
30449,418,11.712,602.3,7202,43
30499,419,11.72,581.1,6810,43
30549,420,11.716,599.9,7048,43
30599,421,11.716,605.3,7094,43
30649,422,11.716,600.2,7032,43
30699,423,11.712,604.4,7094,43
30749,424,11.704,637.6,7462,43
30799,425,11.712,605.1,7074,43
30849,426,11.716,613.3,7180,43
30899,427,11.716,604,7048,43
30949,428,11.716,603.5,7072,43
30999,429,11.712,606.1,6964,43
31049,430,11.716,606.5,7108,43
31099,431,11.716,604.9,7088,43
31149,432,11.716,606.5,6982,43
31199,433,11.72,605.7,7098,43
31249,434,11.716,608.2,6974,43
31299,435,11.724,600.1,7032,43
31349,436,11.712,605,7120,43
31399,437,11.716,605.4,7094,43
31449,438,11.712,597.1,6992,43
31499,439,11.72,608.1,7108,43
31549,440,11.716,601.6,7052,43
31599,441,11.716,604.2,6868,43
31649,442,11.716,573.8,6728,43
31699,443,11.716,604.6,6888,43
31749,444,11.712,602.2,7058,43
31799,445,11.716,589.2,6904,43
31849,446,11.716,596.5,7130,43
31899,447,11.712,610,7144,43
31949,448,11.716,610.1,6802,43
31999,449,11.724,596.5,6990,43
32049,450,11.712,595.8,7110,43
32099,451,11.724,606.7,7104,43
32149,452,11.716,599.9,7032,43
32199,453,11.712,615.6,7144,43
32249,454,11.704,623.6,7298,43
32299,455,11.716,609.8,6980,43
32349,456,11.716,604.9,7082,43
32399,457,11.708,604.2,7094,43
32449,458,11.708,632.3,7400,43
32499,459,11.712,598,7006,43
32549,460,11.712,601.6,7048,43
32599,461,11.716,601,7038,43
32649,462,11.712,607.3,7118,43
32699,463,11.712,601.1,7042,43
32749,464,11.712,602.6,7072,43
32799,465,11.716,604.9,7088,43
32849,466,11.712,593.8,6956,43
32899,467,11.716,588.5,6894,43
32949,468,11.716,593.9,6960,43
32999,469,11.712,604.8,7118,43
33049,470,11.716,601,7042,43
33099,471,11.712,605.4,6946,43
33149,472,11.708,588.6,6894,43
33199,473,11.712,596,6982,43
33249,474,11.716,604.2,7078,43
33299,475,11.716,609.6,7144,43
33349,476,11.716,594.9,7012,43
33399,477,11.712,600.6,7036,43
33449,478,11.724,607,7022,43
33499,479,11.712,608.5,7128,43
33549,480,11.724,593.1,6946,43
