####################
# Startup Complete #
####################
time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW)
29918, 7.808, 93.020, 7.901, 903.300, 6894.000, 0.000
29990, 7.848, 82.470, 7.930, 853.300, 6498.000, 0.000
30062, 7.832, 85.750, 7.918, 877.800, 6882.000, 0.000
30134, 7.836, 86.000, 7.922, 886.500, 7136.000, 0.000
30206, 7.820, 87.820, 7.908, 911.800, 6810.000, 0.000
30278, 7.836, 86.880, 7.923, 838.900, 6986.000, 0.000
30350, 7.832, 90.060, 7.922, 863.800, 6632.000, 0.000
30422, 7.840, 88.260, 7.928, 850.100, 7254.000, 0.000
30494, 7.848, 87.780, 7.936, 890.100, 6904.000, 0.000
30566, 7.828, 86.340, 7.914, 862.700, 6734.000, 0.000
30638, 7.840, 88.340, 7.928, 875.400, 6740.000, 0.000
30710, 7.832, 82.920, 7.915, 816.700, 6426.000, 0.000
30782, 7.848, 85.470, 7.933, 876.400, 6790.000, 0.000
30854, 7.840, 78.650, 7.919, 832.400, 6672.000, 0.000
30926, 7.848, 83.640, 7.932, 817.500, 6386.000, 0.000
30998, 7.844, 85.770, 7.930, 836.900, 6286.000, 0.000
31070, 7.868, 68.020, 7.936, 782.700, 6062.000, 0.000
31142, 7.864, 81.240, 7.945, 741.600, 6554.000, 0.000
31214, 7.532, 167.310, 7.699, 1708.600, 12584.000, 0.000
31286, 7.552, 171.730, 7.724, 1720.200, 12472.000, 0.000
31358, 7.548, 166.760, 7.715, 1622.100, 12656.000, 0.000
31429, 7.552, 166.900, 7.719, 1626.100, 12276.000, 0.000
31500, 7.780, 101.290, 7.881, 980.600, 7622.000, 0.000
31571, 7.796, 100.100, 7.896, 1002.400, 7798.000, 0.000
31642, 7.780, 101.030, 7.881, 1046.500, 8146.000, 0.000
31713, 7.616, 144.910, 7.761, 1485.200, 11328.000, 0.000
31784, 7.596, 156.850, 7.753, 1561.600, 11868.000, 0.000
31855, 7.600, 155.090, 7.755, 1560.200, 11806.000, 0.000
31926, 7.600, 151.290, 7.751, 1539.500, 11632.000, 0.000
31997, 7.604, 154.610, 7.759, 1555.400, 11750.000, 0.000
32068, 7.600, 153.780, 7.754, 1555.100, 11594.000, 0.000
32139, 7.592, 151.490, 7.743, 1494.000, 11338.000, 0.000
32210, 7.600, 154.160, 7.754, 1548.900, 11728.000, 0.000
32281, 7.596, 150.880, 7.747, 1535.000, 11600.000, 0.000
32352, 7.596, 152.060, 7.748, 1490.100, 11318.000, 0.000
32423, 7.596, 149.640, 7.746, 1518.800, 11544.000, 0.000
32494, 7.604, 151.470, 7.755, 1519.100, 11544.000, 0.000
32565, 7.588, 152.240, 7.740, 1577.700, 11984.000, 0.000
32636, 7.588, 156.270, 7.744, 1545.600, 11734.000, 0.000
32708, 7.584, 153.230, 7.737, 1580.800, 11872.000, 0.000
32779, 7.780, 107.650, 7.888, 1085.500, 8424.000, 0.000
32851, 7.712, 113.140, 7.825, 1184.000, 8760.000, 0.000
32923, 7.760, 107.880, 7.868, 1111.300, 8792.000, 0.000
32995, 7.816, 90.280, 7.906, 879.700, 7364.000, 0.000
33067, 7.744, 112.740, 7.857, 1113.000, 7946.000, 0.000
33139, 7.828, 88.030, 7.916, 873.600, 6934.000, 0.000
33211, 7.744, 110.100, 7.854, 1105.100, 8290.000, 0.000
33283, 7.768, 102.080, 7.870, 1053.200, 8090.000, 0.000
33355, 7.832, 87.470, 7.919, 883.400, 6852.000, 0.000
33427, 7.820, 85.200, 7.905, 872.500, 6918.000, 0.000
33499, 7.804, 94.290, 7.898, 925.200, 7042.000, 0.000
33571, 7.828, 84.060, 7.912, 899.700, 6996.000, 0.000
33642, 7.740, 108.680, 7.849, 1109.400, 8582.000, 0.000
33714, 7.692, 124.320, 7.816, 1240.800, 9556.000, 0.000
33786, 7.760, 101.790, 7.862, 1020.700, 7934.000, 0.000
33858, 7.824, 87.170, 7.911, 895.500, 6970.000, 0.000
33930, 7.832, 87.850, 7.920, 871.600, 6816.000, 0.000
34002, 7.568, 160.730, 7.729, 1609.500, 12196.000, 0.000
34074, 7.816, 88.180, 7.904, 890.600, 7012.000, 0.000
34146, 7.812, 90.630, 7.903, 919.100, 7192.000, 0.000
34218, 7.824, 88.200, 7.912, 896.700, 7228.000, 0.000
34290, 7.588, 152.780, 7.741, 1520.900, 11632.000, 0.000
34362, 7.740, 113.890, 7.854, 1119.400, 8730.000, 0.000
34434, 7.568, 160.040, 7.728, 1583.500, 11994.000, 0.000
34506, 7.732, 113.770, 7.846, 1105.500, 8612.000, 0.000
34578, 7.564, 159.770, 7.724, 1632.100, 12158.000, 0.000
34650, 7.572, 162.420, 7.734, 1610.100, 11974.000, 0.000
34722, 7.560, 159.470, 7.719, 1604.700, 12334.000, 0.000
34794, 7.560, 161.490, 7.721, 1579.700, 12406.000, 0.000
34866, 7.744, 112.850, 7.857, 1135.100, 8388.000, 0.000
34938, 7.596, 151.590, 7.748, 1494.800, 11440.000, 0.000
35010, 7.840, 82.260, 7.922, 862.800, 6262.000, 0.000
35082, 7.824, 82.340, 7.906, 848.300, 6556.000, 0.000
35154, 7.840, 84.420, 7.924, 851.100, 6672.000, 0.000
35226, 7.824, 85.170, 7.909, 875.600, 6816.000, 0.000
35297, 7.824, 87.430, 7.911, 874.200, 6846.000, 0.000
35369, 7.764, 101.790, 7.866, 1021.700, 8196.000, 0.000
35441, 7.744, 106.790, 7.851, 1064.200, 7976.000, 0.000
35513, 7.624, 145.180, 7.769, 1413.300, 11118.000, 0.000
35585, 7.588, 151.680, 7.740, 1543.700, 11568.000, 0.000
35657, 7.832, 78.000, 7.910, 877.100, 6652.000, 0.000
35729, 7.736, 112.430, 7.848, 1110.000, 8824.000, 0.000
